"Codigo","Nombre","Categoria","Tecnologia","Estado","Departamento","Municipio","Ubicación","Altitud","LONGITUD","LATITUD","Fecha_instalacion","Fecha_suspension","Area Operativa","Corriente","Area Hidrografica","Zona Hidrografica","Subzona hidrografica","Entidad"
"0021080010","IQUIRA CASA MAQUIN  [21080010]","Pluviométrica","Convencional","Suspendida","Huila","Íquira","    (-75.66666667, 2.65)","760","-75.66666667","2.65","15/03/1955","15/02/1963","Area Operativa 04 - Huila-Caquetá",,"Magdalena Cauca","Alto Magdalena","Río Yaguará y Río Iquira","INSTITUTO COLOMBIANO DE ENERGÍA ELÉCTRICA (ELECTRAGUAS)"
"2319700201","GOLONDRINAS [2319700201]","Limnigráfica","Automática con Telemetría","Activa","Santander","Bucaramanga","    (-73.054544444, 7.142466667)","1,310","-73.054544444","7.142466667",,,"Area Operativa 08 - Santanderes-Arauca","QUEBRADA","Magdalena Cauca","Medio Magdalena","Río Lebrija y otros directos al Magdalena","ACUEDUCTO METROPOLITANO DE BUCARAMANGA"
"0026070440","ESPERANZA LA  [26070440]","Pluviométrica","Convencional","Suspendida","Valle Del Cauca","Pradera","    (-76.26666667, 3.4)","1,010","-76.26666667","3.4","15/02/1968","15/04/1982","Area Operativa 09 - Cauca-Valle-Caldas",,"Magdalena Cauca","Cauca","Río Guachal (Bolo - Fraile y Párraga)","ESTACIONES PARTICULARES"
"0027017390","BODEGA VIEJA PP 1  [27017390]","Limnigráfica","Convencional","Activa","Antioquia","Amalfi","    (-75.03333333, 6.966666667)","1,355","-75.03333333","6.966666667","15/10/1978",,"Area Operativa 01 - Antioquia-Chocó","RIACHÓN","Magdalena Cauca","Nechí","Río Porce","EMPRESAS PÚBLICAS DE MEDELLIN E.S.P."
"0028020550","CODAZZI  [28020550]","Pluviométrica","Convencional","Suspendida","Cesar","Agustín Codazzi","    (-73.23333333, 10.03333333)","125","-73.23333333","10.03333333","15/09/1968","15/09/1970","Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés",,"Magdalena Cauca","Cesar","Medio Cesar","INSTITUTO COLOMBIANO DE LA REFORMA AGRARIA"
"0021117170","JUNTAS LAS  [21117170]","Limnimétrica","Convencional","Activa","Huila","Rivera","    (-75.21666667, 2.766666667)","970","-75.21666667","2.766666667","15/06/2002",,"Area Operativa 04 - Huila-Caquetá","RIOFRIO","Magdalena Cauca","Alto Magdalena","Rio Fortalecillas y otros","ESTACIONES PARTICULARES"
"0021010010","SAN AGUSTIN-MINAG  [21010010]","Pluviométrica","Convencional","Suspendida","Huila","San Agustín","    (-76.36666667, 1.833333333)","1,695","-76.36666667","1.833333333","15/04/1946","15/07/1962","Area Operativa 04 - Huila-Caquetá",,"Magdalena Cauca","Alto Magdalena","Alto Magdalena","INSTITUTO COLOMBIANO DE ENERGÍA ELÉCTRICA (ELECTRAGUAS)"
"0016060010","CNO LA RAYA [16060010]","Pluviométrica","Convencional","Activa","Norte De Santander","Tibú","    (-72.79166667, 8.834722222)","75","-72.79166667","8.834722222","15/04/1973",,"Area Operativa 08 - Santanderes-Arauca",,"Caribe","Catatumbo","Río Socuavo del Norte y Río Socuavo Sur","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"2620000097","SOPETRAN - MONTEGRANDE - AUT  [2620000097]","Pluviográfica","Automática con Telemetría","Activa","Antioquia","Sopetrán","    (-75.702027778, 6.536194444)","1,995","-75.702027778","6.536194444","29/09/2017",,"Area Operativa 01 - Antioquia-Chocó",,"Magdalena Cauca","Cauca","Directos Río Cauca  entre Río San Juan y  Pto Valdivia","CORPORACIÓN AUTÓNOMA REGIONAL DE ANTIOQUIA"
"0021209000","PTE SAENZ  [21209000]","Limnimétrica","Convencional","Activa","Cundinamarca","Viotá","    (-74.51666667, 4.433333333)","600","-74.51666667","4.433333333","15/01/1987",,"Area Operativa 10 - Tolima","QUEBRADA SAN JUANA","Magdalena Cauca","Alto Magdalena","Río Bogotá","CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA"
"0021230120","LA BELLEZA [21230120]","Pluviométrica","Convencional","Activa","Cundinamarca","Chaguaní","    (-74.58111111, 4.985388889)","1,200","-74.58111111","4.985388889","15/12/1986",,"Area Operativa 11 - Cundinamarca-Amazonas",,"Magdalena Cauca","Alto Magdalena","Río Seco y otros Directos al Magdalena","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0025021380","SAN ROQUE [25021380]","Pluviométrica","Convencional","Activa","Magdalena","El Banco","    (-74.15, 9.07)","24","-74.15","9.07","15/05/1980",,"Area Operativa 02 - Atlántico-Bolivar-Sucre",,"Magdalena Cauca","Bajo Magdalena","Directos Bajo Magdalena entre El Banco y El Plato","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0012017010","CHIGORODÓ [12017010]","Limnimétrica","Convencional","Activa","Antioquia","Chigorodó","    (-76.68391667, 7.673055556)","20","-76.68391667","7.673055556","15/10/1976",,"Area Operativa 01 - Antioquia-Chocó","CHIGORODÓ","Caribe","Caribe - Litoral","Río León","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0026247040","BUENOS AIRES [26247040]","Limnigráfica","Convencional","Suspendida","Antioquia","Cáceres","    (-75.43333333, 7.733333333)","49","-75.43333333","7.733333333","15/11/1972","15/10/1975","Area Operativa 01 - Antioquia-Chocó","MAN","Magdalena Cauca","Cauca","Río Taraza - Río Man","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"1602500063","MUTISCUA - AUT [1602500063]","Climatológica Principal","Automática con Telemetría","En Mantenimiento","Norte De Santander","Mutiscua","    (-72.745761111, 7.299088889)","2,680","-72.745761111","7.299088889","26/08/2018",,"Area Operativa 08 - Santanderes-Arauca",,"Caribe","Catatumbo","Río Zulia","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
"0021209580","DESC. SAN RAFAEL  [21209580]","Limnimétrica","Convencional","Activa","Cundinamarca","La Calera","    (-74.01666667, 4.716666667)","2,930","-74.01666667","4.716666667","15/03/1997",,"Area Operativa 11 - Cundinamarca-Amazonas","EMBALSE SAN RAFAEL","Magdalena Cauca","Alto Magdalena","Río Bogotá","CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA"
"0027010860","NORMANDIA HACIENDA [27010860]","Pluviométrica","Convencional","Suspendida","Antioquia","Yolombó","    (-75.11666667, 6.7)","980","-75.11666667","6.7","15/10/1970","15/04/1981","Area Operativa 01 - Antioquia-Chocó",,"Magdalena Cauca","Nechí","Río Porce","INSTITUTO DE HIDROLOGÍA METEOROLOGÍA Y ESTUDIOS AMBIENTALES"
