name,Decade,Year,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
W6,1980,1987,12,12,2.63700882593791e-05,0.0007679586609204,0.000741588572661021,0.00234000136454875,0.000195000113712396,7.59512186050415e-05,0.000226241698911107,2.63700882593791e-05,2.63700882593791e-05,3.49407394727071e-05,0.00029779846469555,0.000262857725222843
W32,1980,1987,12,12,0.0001493942491368,0.0021993358347095,0.0020499415855727,0.0097510641145668,0.0008125886762139,0.0005627329830991,0.000609307375999264,0.0001493942491368,0.0001493942491368,0.0003451554785234,0.00129997431675415,0.00095481883823075
W12,1980,1987,12,12,0.0006232146922969,0.0036481897846794,0.0030249750923825,0.0207382742740548,0.0017281895228379,0.0015826191172299,0.000923959931879588,0.0006232146922969,0.0006232146922969,0.00092032129654955,0.00243034045164625,0.0015100191550967
W33,1980,1987,12,12,6.84714979547725e-05,0.0011789896612864,0.00111051816333163,0.00541940375020613,0.000451616979183845,0.00027011602975575,0.000394553777198279,6.84714979547725e-05,6.84714979547725e-05,0.0001457647467249,0.000810249251862,0.0006644845051371
W14,1980,1987,12,12,0.0004865872292708,0.0040097706633921,0.0035231834341213,0.0240952315716388,0.00200793596430323,0.00195641744988595,0.00109361297675367,0.0004865872292708,0.0004865872292708,0.00110011905588375,0.0027674607876696,0.00166734173178585
W28,1980,1987,12,12,0.0002828052596759,0.0040593187002944,0.0037765134406185,0.0179880148716397,0.00149900123930331,0.00126540369612355,0.0011322761161879,0.0002828052596759,0.0002828052596759,0.00063416177754025,0.00171512406337405,0.0010809622858338
W23,1980,1987,12,12,0.0001899230091339,0.0027656823333925,0.0025757593242586,0.0120077834795082,0.00100064862329235,0.0008555564027017,0.000764353371410838,0.0001899230091339,0.0001899230091339,0.0004256820261072,0.00116222515724555,0.00073654313113835
W34,1980,1987,12,12,0.0002838373184204,0.0040725395083427,0.0037887021899223,0.0180506259202954,0.00150421882669128,0.001269519329071,0.00113609994527374,0.0002838373184204,0.0002838373184204,0.0006364956498146,0.00172068551182745,0.00108418986201285
W37,1980,1987,12,12,0.0002771758599286,0.0030682180790457,0.0027910422191171,0.014386938421731,0.00119891153514425,0.00104677824508875,0.000857623480132562,0.0002771758599286,0.0002771758599286,0.00064651999846665,0.001194240261784,0.00054772026331735
W36,1980,1987,12,12,0.0006052404642105,0.0067485645413398,0.0061433240771293,0.0394273102283472,0.0032856091856956,0.00320415943861005,0.00186974509293444,0.0006052404642105,0.0006052404642105,0.00168987363576885,0.0045208781957626,0.00283100455999375
W10,1980,1987,12,12,0.0004368796944618,0.0040652882307767,0.0036284085363149,0.0215564370155329,0.00179636975129441,0.0016903011128306,0.00104835764551239,0.0004368796944618,0.0004368796944618,0.0009274017065763,0.0023976862430572,0.0014702845364809
W25,1980,1987,12,12,0.0006168459922752,0.0069893728070875,0.0063725268148123,0.0374299886114123,0.00311916571761769,0.0028804807836555,0.00186391186196339,0.0006168459922752,0.0006168459922752,0.00164916059946985,0.0040938415872707,0.00244468098780085
W4,1980,1987,12,12,0.0011889623152697,0.0060681385818621,0.0048791762665924,0.0397990794972422,0.00331658995810352,0.0030542160584292,0.00146143953584708,0.0011889623152697,0.0011889623152697,0.00235350547173665,0.0045901189080473,0.00223661343631065
W5,1980,1987,12,12,0.0032043554855088,0.0102906607083972,0.0070863052228884,0.067075069665732,0.005589589138811,0.00476129860905115,0.00214150360439392,0.0032043554855088,0.0032043554855088,0.00364782898451215,0.00720431187704325,0.0035564828925311
W29,1980,1987,12,12,0.0019526033505474,0.0094816004981282,0.0075289971475808,0.0586423411288414,0.00488686176073678,0.0043478821389485,0.00219439203967475,0.0019526033505474,0.0019526033505474,0.0032453009443017,0.00669209056905375,0.00344678962475205
W22,1980,1987,12,12,0.0012965402566805,0.0073457425125426,0.0060492022558621,0.0500642491597369,0.00417202076331141,0.00373295898462155,0.00197164890544214,0.0012965402566805,0.0012965402566805,0.00264086641331415,0.0057405297765162,0.00309966336320205
W17,1980,1987,12,12,0.0012351986292658,0.0071336745294793,0.0058984759002135,0.0477321135044619,0.00397767612537183,0.0035184921115561,0.001937620585132,0.0012351986292658,0.0012351986292658,0.00227756303086185,0.00560981008434765,0.0033322470534858
W31,1980,1987,12,12,0.0006306916475296,0.0072726532816886,0.006641961634159,0.0371020287275309,0.00309183572729424,0.0027612410485744,0.00191077526278192,0.0006306916475296,0.0006306916475296,0.00162617117166515,0.00399250537157055,0.0023663341999054
W7,1980,1987,12,12,0.0020736551835741,0.0068727015662518,0.0047990463826777,0.0462330002690783,0.00385275002242319,0.0033476882268961,0.00166578816508533,0.0020736551835741,0.0020736551835741,0.0022326877553768,0.0052812830504653,0.0030485952950885
W16,1980,1987,12,12,0.0010163783386901,0.0065179347821672,0.0055015564434771,0.0386733008050326,0.00322277506708605,0.0028280740061925,0.00165789089723609,0.0010163783386901,0.0010163783386901,0.0016921329273566,0.004494166607134,0.0028020336797774
W24,1980,1987,12,12,0.0029917309681574,0.011184406777223,0.0081926758090656,0.0731487646698948,0.0060957303891579,0.00570096696416535,0.00234203179965235,0.0029917309681574,0.0029917309681574,0.00435987114906305,0.0076351873576641,0.00327531620860105
W9,1980,1987,12,12,0.0082288061579068,0.0261887311935425,0.0179599250356357,0.225046157836914,0.0187538464864095,0.0215081137915452,0.00662596993713193,0.0082288061579068,0.0082288061579068,0.0120690166950226,0.0256630939741929,0.0135940772791704
W15,1980,1987,12,12,0.0024842371543248,0.0111886262893677,0.0087043891350429,0.0864387576778725,0.00720322980648937,0.0079989060759544,0.00319133868864914,0.0024842371543248,0.0024842371543248,0.00407266616821285,0.0101487971842289,0.006076131016016
