layer,distance,elevation
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2094.96048509328,2561.90551757812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2124.8448884531,2560.33032226562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2154.9054208544,2560.33032226562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2185.44802542129,2559.5859375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2215.43876443062,2559.04272460938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2248.33674080088,2560.52563476562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2285.71334131923,2559.62548828125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2311.50981702412,2560.22436523438
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2332.36654658232,2560.07373046875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2356.8849931462,2561.63012695312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2384.52927419017,2560.42797851562
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2405.79860688955,2560.75756835938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2423.95225423672,2560.75756835938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2448.7962186273,2559.99584960938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2479.38861852486,2560.42041015625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2489.71925865391,2560.44311523438
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2519.04364332478,2560.61083984375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2545.52483531297,2560.2646484375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2561.66668292113,2561.51196289062
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2584.17417493176,2559.65087890625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2610.26576917344,2559.46728515625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2638.90479435733,2559.96240234375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2652.05863872626,2559.96240234375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2678.64023958636,2559.7939453125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2692.12408256001,2559.71337890625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2720.04415083223,2560.03271484375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2748.23504713302,2559.60693359375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2769.15958430452,2560.8251953125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2789.01113388382,2560.7216796875
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2819.14389431731,2559.8017578125
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2849.8116735043,2560.04370117188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2878.09007789557,2560.24609375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2892.12633749886,2560.24609375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2919.1852142883,2560.91918945312
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2943.47993511905,2559.98803710938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2962.52966509433,2560.33276367188
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,2990.80922974012,2565.85131835938
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3014.6220782611,2565.76489257812
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3032.07675660903,2560.70068359375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3059.42654750153,2560.45556640625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3075.67507227336,2560.45556640625
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3098.90047712593,2559.42724609375
COP30_ab0128eb_7248_4bb0_b1fe_4e49854ba34c,3121.67904658696,2559.6982421875
