name,Decade,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
W1,1960,10,10,0.0277537619452529,0.0475218736877038,0.0197681117424509,0.326692450723683,0.0326692450723683,0.030145395835764,0.00617586824051913,0.0277537619452529,0.0277537619452529,0.0285008805027847,0.0339770532057925,0.0054761727030078
W3,1960,10,10,0.0345475171555685,0.0561412516909863,0.0215937345354178,0.395332667841479,0.0395332667841479,0.036225627777454,0.00683026753720353,0.0345475171555685,0.0345475171555685,0.0352633016676212,0.0407084061041272,0.005445104436506
W21,1960,10,10,0.0331909788928941,0.0588268283355777,0.0256358494426836,0.399287135681624,0.0399287135681624,0.0369900549652439,0.0073290895106945,0.0331909788928941,0.0331909788928941,0.0365230364781194,0.0387022311698605,0.0021791946917411
W13,1960,10,10,0.0287762212114476,0.050342955162545,0.0215667339510974,0.341444227116417,0.0341444227116417,0.0317095768924378,0.00648947025653346,0.0287762212114476,0.0287762212114476,0.0297813590691187,0.0350897252845786,0.0053083662154599
W27,1960,10,10,0.0305881938111264,0.0518716381629925,0.0212834443518661,0.36292625208443,0.036292625208443,0.0336998350830977,0.00623182505605985,0.0305881938111264,0.0305881938111264,0.0324192054977168,0.0359999343927479,0.0035807288950311
W19,1960,10,10,0.0359547761690302,0.058912551663308,0.0229577754942778,0.440731166199637,0.0440731166199637,0.0416003352692887,0.00641914314678498,0.0359547761690302,0.0359547761690302,0.0404705188003258,0.0474332871895716,0.0069627683892458
W2,1960,10,10,0.0507296782840658,0.0770205100222175,0.0262908317381517,0.633425137066898,0.0633425137066898,0.0643486268430322,0.00820158712973874,0.0507296782840658,0.0507296782840658,0.0577084464215049,0.0688055898838982,0.0110971434623933
W11,1960,10,10,0.0407338840476362,0.0655802100696121,0.0248463260219759,0.510302540741277,0.0510302540741277,0.0496791968193276,0.00698314734079454,0.0407338840476362,0.0407338840476362,0.0469684496949501,0.0562439866673116,0.0092755369723615
W26,1960,10,10,0.0352124682749454,0.0581061448594546,0.0228936765845092,0.431974872048291,0.0431974872048291,0.0411029360473958,0.00624767757915215,0.0352124682749454,0.0352124682749454,0.0395495911966886,0.0454393735017809,0.0058897823050923
W20,1960,10,10,0.041551998214369,0.0650832335396289,0.0235312353252599,0.513336837998297,0.0513336837998297,0.0511478826117302,0.00650619428833034,0.041551998214369,0.041551998214369,0.0460749903838804,0.0557261126396795,0.0096511222557991
W6,1960,10,10,0.0254039034868274,0.0467137637703363,0.0213098602835089,0.310967339581106,0.0310967339581106,0.0288244229547364,0.00632463338033553,0.0254039034868274,0.0254039034868274,0.0280324644409113,0.0298576428225103,0.001825178381599
W32,1960,10,10,0.0363887993623682,0.0583340974918076,0.0219452981294394,0.449134468200554,0.0449134468200554,0.0435684644655532,0.00580473870334685,0.0363887993623682,0.0363887993623682,0.0420182813796612,0.0469364603438648,0.00491817896420359
W12,1960,10,10,0.0494076439796873,0.0710793119420044,0.0216716679623171,0.596935192038868,0.0596935192038868,0.0599049754958556,0.0064501476895914,0.0494076439796873,0.0494076439796873,0.0538710716889092,0.0648029319212433,0.0109318602323341
W33,1960,10,10,0.0297588776054094,0.0505481261043289,0.0207892484989195,0.365091566974907,0.0365091566974907,0.0352203197762752,0.00570346570642107,0.0297588776054094,0.0297588776054094,0.0330527666203428,0.0361731963726107,0.00312042975226789
W14,1960,10,10,0.0521719588935984,0.0734032063862455,0.0212312474926471,0.640216703214083,0.0640216703214083,0.0654915296639394,0.00624842110910587,0.0521719588935984,0.0521719588935984,0.0591011185694525,0.0686182129669174,0.0095170943974649
W28,1960,10,10,0.0448544486336396,0.066672709911906,0.0218182612782664,0.555651831474234,0.0555651831474234,0.0564053016508851,0.00588612241049847,0.0448544486336396,0.0448544486336396,0.0512274348915073,0.0581660967208863,0.006938661829379
W23,1960,10,10,0.0376365356274561,0.0592881301714401,0.021651594543984,0.465093542663556,0.0465093542663556,0.0459576227058291,0.00571309442201798,0.0376365356274561,0.0376365356274561,0.0429726981063622,0.0472410266425265,0.0042683285361643
W34,1960,10,10,0.0449302784400056,0.066750957164913,0.0218206787249074,0.556610816071038,0.0556610816071038,0.0565131296752946,0.00589043672968066,0.0449302784400056,0.0449302784400056,0.0513159075635478,0.0582822440192097,0.0069663364556619
W37,1960,10,10,0.0410231012389431,0.0633105294515296,0.0222874282125865,0.514645595708174,0.0514645595708174,0.0511569578268205,0.006069153573427,0.0410231012389431,0.0410231012389431,0.0474550453682649,0.0536155429751933,0.0061604976069284
W36,1960,10,10,0.0646585587819567,0.0901234583579932,0.0254648995760365,0.803826281917276,0.0803826281917276,0.0829414583859029,0.00805225103356447,0.0646585587819567,0.0646585587819567,0.0737317996099586,0.0871097729541355,0.0133779733441769
W10,1960,10,10,0.0459513635614706,0.0712615333031858,0.0253101697417152,0.599664005309017,0.0599664005309017,0.0594660847491462,0.00755268739432545,0.0459513635614706,0.0459513635614706,0.0545289917135954,0.0656439707963722,0.0111149790827768
W25,1960,10,10,0.0619390516974425,0.087765620562468,0.0258265688650255,0.779114545149472,0.0779114545149472,0.0807344867793748,0.00806808446700808,0.0619390516974425,0.0619390516974425,0.0708969487312301,0.0850371074406766,0.0141401587094465
W4,1960,10,10,0.0689188736047984,0.0944293612772598,0.0255104876724614,0.813782805668195,0.0813782805668195,0.0812089019329164,0.00837821508195417,0.0689188736047984,0.0689188736047984,0.0722795601953861,0.0896109982170977,0.0173314380217116
W5,1960,10,10,0.0866688467167891,0.130544454428495,0.0438756077117059,1.10893242905177,0.110893242905177,0.114726700384369,0.0140750208577639,0.0866688467167891,0.0866688467167891,0.0959013659830248,0.120626034448987,0.0247246684659622
W29,1960,10,10,0.0853426698058748,0.116691096241444,0.0313484264355692,1.02944415817039,0.102944415817039,0.103966817296729,0.0110049940084101,0.0853426698058748,0.0853426698058748,0.0916523970712813,0.114569463916243,0.0229170668449617
W22,1960,10,10,0.0793092744546831,0.103864411630342,0.0245551371756589,0.929062711347856,0.0929062711347856,0.0927851260008127,0.00931848197608174,0.0793092744546831,0.0793092744546831,0.0839308688508858,0.102137755567694,0.0182068867168082
W17,1960,10,10,0.0767551976770481,0.101541775412777,0.0247865777357289,0.904968738593706,0.0904968738593706,0.0907972755459497,0.00896600498629058,0.0767551976770481,0.0767551976770481,0.0822118312833475,0.0992382436207285,0.017026412337381
W31,1960,10,10,0.0610793520172587,0.0875528925680551,0.0264735405507964,0.773692974005822,0.0773692974005822,0.0796854671207252,0.00822725831013468,0.0610793520172587,0.0610793520172587,0.070497489214176,0.0845655039884147,0.0140680147742387
W7,1960,10,10,0.0744526040832622,0.102600630070447,0.0281480259871848,0.887248201774755,0.0887248201774755,0.091362478603725,0.00953477396947961,0.0744526040832622,0.0744526040832622,0.0798299060709279,0.0968345198935657,0.0170046138226378
W16,1960,10,10,0.0657867322134988,0.0899350281196385,0.0241482959061397,0.804187399339153,0.0804187399339153,0.0814568882503405,0.00838891800831157,0.0657867322134988,0.0657867322134988,0.0735346959317413,0.0883623074809609,0.0148276115492196
W24,1960,10,10,0.0919735966405518,0.139371099726607,0.0473975030860552,1.18857465086815,0.118857465086815,0.124238119538252,0.015397306668348,0.0919735966405518,0.0919735966405518,0.104286512437587,0.130568154621869,0.026281642184282
W9,1960,10,10,0.17038232468379,0.320945399502913,0.150563074819123,2.61095877480693,0.261095877480693,0.268466994088764,0.0519071731972734,0.17038232468379,0.17038232468379,0.226236862596124,0.311566887889057,0.085330025292933
W15,1960,10,10,0.0886159359167014,0.1645947607855,0.0759788248687986,1.31694213650189,0.131694213650189,0.138964757633705,0.0254897528646553,0.0886159359167014,0.0886159359167014,0.108407649754857,0.152822214954843,0.044414565199986
W35,1960,10,10,0.0890080247239227,0.154092926302294,0.0650849015783713,1.26171941534928,0.126171941534928,0.132186115866291,0.0216271103468242,0.0890080247239227,0.0890080247239227,0.105783427362181,0.142199117903984,0.036415690541803
W8,1960,10,10,0.107432392658665,0.216182908043265,0.1087505153846,1.69883258920163,0.169883258920163,0.176970249623991,0.0369879906829535,0.107432392658665,0.107432392658665,0.141094443155452,0.204030473250896,0.062936030095444
W18,1960,10,10,0.163926910143345,0.319928201846778,0.156001291703433,2.57638203701935,0.257638203701935,0.264726003166288,0.053804061872179,0.163926910143345,0.163926910143345,0.221093599218875,0.310423959512264,0.089330360293389
W30,1960,10,10,0.137764098515618,0.267346024163999,0.129581925648381,2.12095192795096,0.212095192795096,0.214717718656175,0.0440980886621317,0.137764098515618,0.137764098515618,0.183713481965242,0.253699445980601,0.069985964015359
